,codename,political_parties,votes
658,badajoz,PODEMOS-EU,0
659,caceres,PODEMOS-EU,0
660,acoruña,PODEMOS-EU,77069
661,lugo,PODEMOS-EU,16548
662,ourense,PODEMOS-EU,13573
663,pontevedra,PODEMOS-EU,81041
664,madrid,PODEMOS-EU,0
665,navarra,PODEMOS-EU,0
666,araba_alava,PODEMOS-EU,0
667,gipuzkoa,PODEMOS-EU,0
668,bizkaia,PODEMOS-EU,0
669,murcia,PODEMOS-EU,0
670,larioja,PODEMOS-EU,0
671,alicante_alacant,PODEMOS-EU,0
672,castellon_castello,PODEMOS-EU,0
673,valencia_valencia,PODEMOS-EU,0
674,ceuta,PODEMOS-EU,0
675,melilla,PODEMOS-EU,0
676,almeria,CCa-PNC-NC,0
677,cadiz,CCa-PNC-NC,0
678,cordoba,CCa-PNC-NC,0
679,granada,CCa-PNC-NC,0
680,huelva,CCa-PNC-NC,0
681,jaen,CCa-PNC-NC,0
682,malaga,CCa-PNC-NC,0
683,sevilla,CCa-PNC-NC,0
684,huesca,CCa-PNC-NC,0
685,teruel,CCa-PNC-NC,0
686,zaragoza,CCa-PNC-NC,0
687,asturias,CCa-PNC-NC,0
688,illesbalears,CCa-PNC-NC,0
689,laspalmas,CCa-PNC-NC,48028
690,santacruzdetenerife,CCa-PNC-NC,76261
691,cantabria,CCa-PNC-NC,0
692,albacete,CCa-PNC-NC,0
693,ciudadreal,CCa-PNC-NC,0
694,cuenca,CCa-PNC-NC,0
695,guadalajara,CCa-PNC-NC,0
696,toledo,CCa-PNC-NC,0
697,avila,CCa-PNC-NC,0
698,burgos,CCa-PNC-NC,0
699,leon,CCa-PNC-NC,0
700,palencia,CCa-PNC-NC,0
701,salamanca,CCa-PNC-NC,0
702,segovia,CCa-PNC-NC,0
703,soria,CCa-PNC-NC,0
704,valladolid,CCa-PNC-NC,0
705,zamora,CCa-PNC-NC,0
706,barcelona,CCa-PNC-NC,0
707,girona,CCa-PNC-NC,0
708,lleida,CCa-PNC-NC,0
709,tarragona,CCa-PNC-NC,0
710,badajoz,CCa-PNC-NC,0
711,caceres,CCa-PNC-NC,0
712,acoruña,CCa-PNC-NC,0
713,lugo,CCa-PNC-NC,0
714,ourense,CCa-PNC-NC,0
715,pontevedra,CCa-PNC-NC,0
716,madrid,CCa-PNC-NC,0
717,navarra,CCa-PNC-NC,0
718,araba_alava,CCa-PNC-NC,0
719,gipuzkoa,CCa-PNC-NC,0
720,bizkaia,CCa-PNC-NC,0
721,murcia,CCa-PNC-NC,0
722,larioja,CCa-PNC-NC,0
723,alicante_alacant,CCa-PNC-NC,0
724,castellon_castello,CCa-PNC-NC,0
725,valencia_valencia,CCa-PNC-NC,0
726,ceuta,CCa-PNC-NC,0
727,melilla,CCa-PNC-NC,0
728,almeria,NA+,0
729,cadiz,NA+,0
730,cordoba,NA+,0
731,granada,NA+,0
732,huelva,NA+,0
733,jaen,NA+,0
734,malaga,NA+,0
735,sevilla,NA+,0
736,huesca,NA+,0
737,teruel,NA+,0
738,zaragoza,NA+,0
739,asturias,NA+,0
740,illesbalears,NA+,0
741,laspalmas,NA+,0
742,santacruzdetenerife,NA+,0
743,cantabria,NA+,0
744,albacete,NA+,0
745,ciudadreal,NA+,0
746,cuenca,NA+,0
747,guadalajara,NA+,0
748,toledo,NA+,0
749,avila,NA+,0
750,burgos,NA+,0
751,leon,NA+,0
752,palencia,NA+,0
753,salamanca,NA+,0
754,segovia,NA+,0
755,soria,NA+,0
756,valladolid,NA+,0
757,zamora,NA+,0
758,barcelona,NA+,0
759,girona,NA+,0
760,lleida,NA+,0
761,tarragona,NA+,0
762,badajoz,NA+,0
763,caceres,NA+,0
764,acoruña,NA+,0
765,lugo,NA+,0
766,ourense,NA+,0
767,pontevedra,NA+,0
768,madrid,NA+,0
769,navarra,NA+,99078
770,araba_alava,NA+,0
771,gipuzkoa,NA+,0
772,bizkaia,NA+,0
773,murcia,NA+,0
774,larioja,NA+,0
775,alicante_alacant,NA+,0
776,castellon_castello,NA+,0
777,valencia_valencia,NA+,0
778,ceuta,NA+,0
779,melilla,NA+,0
780,almeria,MÉS COMPROMÍS,0
781,cadiz,MÉS COMPROMÍS,0
782,cordoba,MÉS COMPROMÍS,0
783,granada,MÉS COMPROMÍS,0
784,huelva,MÉS COMPROMÍS,0
785,jaen,MÉS COMPROMÍS,0
786,malaga,MÉS COMPROMÍS,0
787,sevilla,MÉS COMPROMÍS,0
788,huesca,MÉS COMPROMÍS,0
789,teruel,MÉS COMPROMÍS,0
790,zaragoza,MÉS COMPROMÍS,0
791,asturias,MÉS COMPROMÍS,0
792,illesbalears,MÉS COMPROMÍS,0
793,laspalmas,MÉS COMPROMÍS,0
794,santacruzdetenerife,MÉS COMPROMÍS,0
795,cantabria,MÉS COMPROMÍS,0
796,albacete,MÉS COMPROMÍS,0
797,ciudadreal,MÉS COMPROMÍS,0
798,cuenca,MÉS COMPROMÍS,0
799,guadalajara,MÉS COMPROMÍS,0
800,toledo,MÉS COMPROMÍS,0
801,avila,MÉS COMPROMÍS,0
802,burgos,MÉS COMPROMÍS,0
803,leon,MÉS COMPROMÍS,0
804,palencia,MÉS COMPROMÍS,0
805,salamanca,MÉS COMPROMÍS,0
806,segovia,MÉS COMPROMÍS,0
807,soria,MÉS COMPROMÍS,0
808,valladolid,MÉS COMPROMÍS,0
809,zamora,MÉS COMPROMÍS,0
810,barcelona,MÉS COMPROMÍS,0
811,girona,MÉS COMPROMÍS,0
812,lleida,MÉS COMPROMÍS,0
813,tarragona,MÉS COMPROMÍS,0
814,badajoz,MÉS COMPROMÍS,0
815,caceres,MÉS COMPROMÍS,0
816,acoruña,MÉS COMPROMÍS,0
817,lugo,MÉS COMPROMÍS,0
818,ourense,MÉS COMPROMÍS,0
819,pontevedra,MÉS COMPROMÍS,0
820,madrid,MÉS COMPROMÍS,0
821,navarra,MÉS COMPROMÍS,0
822,araba_alava,MÉS COMPROMÍS,0
823,gipuzkoa,MÉS COMPROMÍS,0
824,bizkaia,MÉS COMPROMÍS,0
825,murcia,MÉS COMPROMÍS,0
826,larioja,MÉS COMPROMÍS,0
827,alicante_alacant,MÉS COMPROMÍS,35612
828,castellon_castello,MÉS COMPROMÍS,18140
829,valencia_valencia,MÉS COMPROMÍS,122535
830,ceuta,MÉS COMPROMÍS,0
831,melilla,MÉS COMPROMÍS,0
832,almeria,BNG,0
833,cadiz,BNG,0
834,cordoba,BNG,0
835,granada,BNG,0
836,huelva,BNG,0
837,jaen,BNG,0
838,malaga,BNG,0
839,sevilla,BNG,0
840,huesca,BNG,0
841,teruel,BNG,0
842,zaragoza,BNG,0
843,asturias,BNG,0
844,illesbalears,BNG,0
845,laspalmas,BNG,0
846,santacruzdetenerife,BNG,0
847,cantabria,BNG,0
848,albacete,BNG,0
849,ciudadreal,BNG,0
850,cuenca,BNG,0
851,guadalajara,BNG,0
852,toledo,BNG,0
853,avila,BNG,0
854,burgos,BNG,0
855,leon,BNG,0
856,palencia,BNG,0
857,salamanca,BNG,0
858,segovia,BNG,0
859,soria,BNG,0
860,valladolid,BNG,0
861,zamora,BNG,0
862,barcelona,BNG,0
863,girona,BNG,0
864,lleida,BNG,0
865,tarragona,BNG,0
866,badajoz,BNG,0
867,caceres,BNG,0
868,acoruña,BNG,58135
869,lugo,BNG,12940
870,ourense,BNG,10256
871,pontevedra,BNG,39125
872,madrid,BNG,0
873,navarra,BNG,0
874,araba_alava,BNG,0
875,gipuzkoa,BNG,0
876,bizkaia,BNG,0
877,murcia,BNG,0
878,larioja,BNG,0
879,alicante_alacant,BNG,0
880,castellon_castello,BNG,0
881,valencia_valencia,BNG,0
882,ceuta,BNG,0
883,melilla,BNG,0
884,almeria,PRC,0
885,cadiz,PRC,0
886,cordoba,PRC,0
887,granada,PRC,0
888,huelva,PRC,0
889,jaen,PRC,0
890,malaga,PRC,0
891,sevilla,PRC,0
892,huesca,PRC,0
893,teruel,PRC,0
894,zaragoza,PRC,0
895,asturias,PRC,0
896,illesbalears,PRC,0
897,laspalmas,PRC,0
898,santacruzdetenerife,PRC,0
899,cantabria,PRC,68830
900,albacete,PRC,0
901,ciudadreal,PRC,0
902,cuenca,PRC,0
903,guadalajara,PRC,0
904,toledo,PRC,0
905,avila,PRC,0
906,burgos,PRC,0
907,leon,PRC,0
908,palencia,PRC,0
909,salamanca,PRC,0
910,segovia,PRC,0
911,soria,PRC,0
912,valladolid,PRC,0
913,zamora,PRC,0
914,barcelona,PRC,0
915,girona,PRC,0
916,lleida,PRC,0
917,tarragona,PRC,0
918,badajoz,PRC,0
919,caceres,PRC,0
920,acoruña,PRC,0
921,lugo,PRC,0
922,ourense,PRC,0
923,pontevedra,PRC,0
924,madrid,PRC,0
925,navarra,PRC,0
926,araba_alava,PRC,0
927,gipuzkoa,PRC,0
928,bizkaia,PRC,0
929,murcia,PRC,0
930,larioja,PRC,0
931,alicante_alacant,PRC,0
932,castellon_castello,PRC,0
933,valencia_valencia,PRC,0
934,ceuta,PRC,0
935,melilla,PRC,0
936,almeria,¡TERUEL EXISTE!,0
937,cadiz,¡TERUEL EXISTE!,0
938,cordoba,¡TERUEL EXISTE!,0
939,granada,¡TERUEL EXISTE!,0
940,huelva,¡TERUEL EXISTE!,0
941,jaen,¡TERUEL EXISTE!,0
942,malaga,¡TERUEL EXISTE!,0
943,sevilla,¡TERUEL EXISTE!,0
944,huesca,¡TERUEL EXISTE!,0
945,teruel,¡TERUEL EXISTE!,19761
946,zaragoza,¡TERUEL EXISTE!,0
947,asturias,¡TERUEL EXISTE!,0
948,illesbalears,¡TERUEL EXISTE!,0
949,laspalmas,¡TERUEL EXISTE!,0
950,santacruzdetenerife,¡TERUEL EXISTE!,0
951,cantabria,¡TERUEL EXISTE!,0
952,albacete,¡TERUEL EXISTE!,0
953,ciudadreal,¡TERUEL EXISTE!,0
954,cuenca,¡TERUEL EXISTE!,0
955,guadalajara,¡TERUEL EXISTE!,0
956,toledo,¡TERUEL EXISTE!,0
957,avila,¡TERUEL EXISTE!,0
958,burgos,¡TERUEL EXISTE!,0
959,leon,¡TERUEL EXISTE!,0
960,palencia,¡TERUEL EXISTE!,0
961,salamanca,¡TERUEL EXISTE!,0
962,segovia,¡TERUEL EXISTE!,0
963,soria,¡TERUEL EXISTE!,0
964,valladolid,¡TERUEL EXISTE!,0
965,zamora,¡TERUEL EXISTE!,0
966,barcelona,¡TERUEL EXISTE!,0
967,girona,¡TERUEL EXISTE!,0
968,lleida,¡TERUEL EXISTE!,0
969,tarragona,¡TERUEL EXISTE!,0
970,badajoz,¡TERUEL EXISTE!,0
971,caceres,¡TERUEL EXISTE!,0
972,acoruña,¡TERUEL EXISTE!,0
973,lugo,¡TERUEL EXISTE!,0
974,ourense,¡TERUEL EXISTE!,0
975,pontevedra,¡TERUEL EXISTE!,0
976,madrid,¡TERUEL EXISTE!,0
977,navarra,¡TERUEL EXISTE!,0
978,araba_alava,¡TERUEL EXISTE!,0
979,gipuzkoa,¡TERUEL EXISTE!,0
980,bizkaia,¡TERUEL EXISTE!,0
981,murcia,¡TERUEL EXISTE!,0
982,larioja,¡TERUEL EXISTE!,0
983,alicante_alacant,¡TERUEL EXISTE!,0
984,castellon_castello,¡TERUEL EXISTE!,0
985,valencia_valencia,¡TERUEL EXISTE!,0
986,ceuta,¡TERUEL EXISTE!,0
987,melilla,¡TERUEL EXISTE!,0
988,almeria,PACMA,2582
989,cadiz,PACMA,8437
990,cordoba,PACMA,3946
991,granada,PACMA,4095
992,huelva,PACMA,2535
993,jaen,PACMA,2766
994,malaga,PACMA,11089
995,sevilla,PACMA,12035
996,huesca,PACMA,735
997,teruel,PACMA,212
998,zaragoza,PACMA,3618
999,asturias,PACMA,4412
1000,illesbalears,PACMA,6207
1001,laspalmas,PACMA,5796
1002,santacruzdetenerife,PACMA,6150
1003,cantabria,PACMA,1856
1004,albacete,PACMA,1651
1005,ciudadreal,PACMA,1788
1006,cuenca,PACMA,545
1007,guadalajara,PACMA,1266
1008,toledo,PACMA,2680
1009,avila,PACMA,432
1010,burgos,PACMA,1415
1011,leon,PACMA,1505
1012,palencia,PACMA,582
1013,salamanca,PACMA,964
1014,segovia,PACMA,462
1015,soria,PACMA,205
1016,valladolid,PACMA,2088
1017,zamora,PACMA,432
1018,barcelona,PACMA,34752
1019,girona,PACMA,3724
1020,lleida,PACMA,1521
1021,tarragona,PACMA,4588
1022,badajoz,PACMA,2400
1023,caceres,PACMA,1276
1024,acoruña,PACMA,4572
1025,lugo,PACMA,1190
1026,ourense,PACMA,1094
1027,pontevedra,PACMA,4619
1028,madrid,PACMA,31983
1029,navarra,PACMA,2250
1030,araba_alava,PACMA,1152
1031,gipuzkoa,PACMA,2070
1032,bizkaia,PACMA,3783
1033,murcia,PACMA,7005
1034,larioja,PACMA,1096
1035,alicante_alacant,PACMA,9417
1036,castellon_castello,PACMA,2483
1037,valencia_valencia,PACMA,15395
1038,ceuta,PACMA,0
1039,melilla,PACMA,0
1040,almeria,MÁS PAÍS,0
1041,cadiz,MÁS PAÍS,0
1042,cordoba,MÁS PAÍS,0
1043,granada,MÁS PAÍS,0
1044,huelva,MÁS PAÍS,0
1045,jaen,MÁS PAÍS,0
1046,malaga,MÁS PAÍS,0
1047,sevilla,MÁS PAÍS,0
1048,huesca,MÁS PAÍS,0
1049,teruel,MÁS PAÍS,0
1050,zaragoza,MÁS PAÍS,0
1051,asturias,MÁS PAÍS,0
1052,illesbalears,MÁS PAÍS,10652
1053,laspalmas,MÁS PAÍS,0
1054,santacruzdetenerife,MÁS PAÍS,0
1055,cantabria,MÁS PAÍS,0
1056,albacete,MÁS PAÍS,0
1057,ciudadreal,MÁS PAÍS,0
1058,cuenca,MÁS PAÍS,0
1059,guadalajara,MÁS PAÍS,0
1060,toledo,MÁS PAÍS,0
1061,avila,MÁS PAÍS,0
1062,burgos,MÁS PAÍS,0
1063,leon,MÁS PAÍS,0
1064,palencia,MÁS PAÍS,0
1065,salamanca,MÁS PAÍS,0
1066,segovia,MÁS PAÍS,0
1067,soria,MÁS PAÍS,0
1068,valladolid,MÁS PAÍS,0
1069,zamora,MÁS PAÍS,0
1070,barcelona,MÁS PAÍS,41826
1071,girona,MÁS PAÍS,0
1072,lleida,MÁS PAÍS,0
1073,tarragona,MÁS PAÍS,0
1074,badajoz,MÁS PAÍS,0
1075,caceres,MÁS PAÍS,0
1076,acoruña,MÁS PAÍS,0
1077,lugo,MÁS PAÍS,0
1078,ourense,MÁS PAÍS,0
1079,pontevedra,MÁS PAÍS,0
1080,madrid,MÁS PAÍS,0
1081,navarra,MÁS PAÍS,0
1082,araba_alava,MÁS PAÍS,0
1083,gipuzkoa,MÁS PAÍS,0
1084,bizkaia,MÁS PAÍS,0
1085,murcia,MÁS PAÍS,0
1086,larioja,MÁS PAÍS,0
1087,alicante_alacant,MÁS PAÍS,0
1088,castellon_castello,MÁS PAÍS,0
1089,valencia_valencia,MÁS PAÍS,0
1090,ceuta,MÁS PAÍS,0
1091,melilla,MÁS PAÍS,0
1092,almeria,RECORTES CERO-GV,360
1093,cadiz,RECORTES CERO-GV,915
1094,cordoba,RECORTES CERO-GV,549
1095,granada,RECORTES CERO-GV,545
1096,huelva,RECORTES CERO-GV,495
1097,jaen,RECORTES CERO-GV,464
1098,malaga,RECORTES CERO-GV,1261
1099,sevilla,RECORTES CERO-GV,1456
1100,huesca,RECORTES CERO-GV,198
1101,teruel,RECORTES CERO-GV,0
1102,zaragoza,RECORTES CERO-GV,861
1103,asturias,RECORTES CERO-GV,732
1104,illesbalears,RECORTES CERO-GV,947
1105,laspalmas,RECORTES CERO-GV,505
1106,santacruzdetenerife,RECORTES CERO-GV,489
1107,cantabria,RECORTES CERO-GV,232
1108,albacete,RECORTES CERO-GV,222
1109,ciudadreal,RECORTES CERO-GV,447
1110,cuenca,RECORTES CERO-GV,125
1111,guadalajara,RECORTES CERO-GV,287
1112,toledo,RECORTES CERO-GV,556
1113,avila,RECORTES CERO-GV,105
1114,burgos,RECORTES CERO-GV,645
1115,leon,RECORTES CERO-GV,178
1116,palencia,RECORTES CERO-GV,256
1117,salamanca,RECORTES CERO-GV,306
1118,segovia,RECORTES CERO-GV,191
1119,soria,RECORTES CERO-GV,95
1120,valladolid,RECORTES CERO-GV,594
1121,zamora,RECORTES CERO-GV,129
1122,barcelona,RECORTES CERO-GV,4698
1123,girona,RECORTES CERO-GV,508
1124,lleida,RECORTES CERO-GV,183
1125,tarragona,RECORTES CERO-GV,533
1126,badajoz,RECORTES CERO-GV,674
1127,caceres,RECORTES CERO-GV,342
1128,acoruña,RECORTES CERO-GV,925
1129,lugo,RECORTES CERO-GV,237
1130,ourense,RECORTES CERO-GV,221
1131,pontevedra,RECORTES CERO-GV,790
1132,madrid,RECORTES CERO-GV,5129
1133,navarra,RECORTES CERO-GV,965
1134,araba_alava,RECORTES CERO-GV,409
1135,gipuzkoa,RECORTES CERO-GV,510
1136,bizkaia,RECORTES CERO-GV,753
1137,murcia,RECORTES CERO-GV,881
1138,larioja,RECORTES CERO-GV,307
1139,alicante_alacant,RECORTES CERO-GV,891
1140,castellon_castello,RECORTES CERO-GV,257
1141,valencia_valencia,RECORTES CERO-GV,1540
1142,ceuta,RECORTES CERO-GV,125
1143,melilla,RECORTES CERO-GV,19
1144,almeria,PUM+J,371
1145,cadiz,PUM+J,707
1146,cordoba,PUM+J,478
1147,granada,PUM+J,624
1148,huelva,PUM+J,351
1149,jaen,PUM+J,419
1150,malaga,PUM+J,904
1151,sevilla,PUM+J,1402
1152,huesca,PUM+J,153
1153,teruel,PUM+J,35
1154,zaragoza,PUM+J,485
1155,asturias,PUM+J,487
1156,illesbalears,PUM+J,573
1157,laspalmas,PUM+J,552
1158,santacruzdetenerife,PUM+J,319
1159,cantabria,PUM+J,187
1160,albacete,PUM+J,375
1161,ciudadreal,PUM+J,484
1162,cuenca,PUM+J,129
1163,guadalajara,PUM+J,284
1164,toledo,PUM+J,661
1165,avila,PUM+J,102
1166,burgos,PUM+J,620
1167,leon,PUM+J,317
1168,palencia,PUM+J,209
1169,salamanca,PUM+J,266
1170,segovia,PUM+J,133
1171,soria,PUM+J,95
1172,valladolid,PUM+J,586
1173,zamora,PUM+J,143
1174,barcelona,PUM+J,1577
1175,girona,PUM+J,339
1176,lleida,PUM+J,169
1177,tarragona,PUM+J,351
1178,badajoz,PUM+J,925
1179,caceres,PUM+J,295
1180,acoruña,PUM+J,607
1181,lugo,PUM+J,221
1182,ourense,PUM+J,307
1183,pontevedra,PUM+J,447
1184,madrid,PUM+J,4305
1185,navarra,PUM+J,928
1186,araba_alava,PUM+J,326
1187,gipuzkoa,PUM+J,401
1188,bizkaia,PUM+J,494
1189,murcia,PUM+J,431
1190,larioja,PUM+J,297
1191,alicante_alacant,PUM+J,948
1192,castellon_castello,PUM+J,370
1193,valencia_valencia,PUM+J,1009
1194,ceuta,PUM+J,43
1195,melilla,PUM+J,31
1196,almeria,M PAÍS-CHA-EQUO,0
1197,cadiz,M PAÍS-CHA-EQUO,0
1198,cordoba,M PAÍS-CHA-EQUO,0
1199,granada,M PAÍS-CHA-EQUO,0
1200,huelva,M PAÍS-CHA-EQUO,0
1201,jaen,M PAÍS-CHA-EQUO,0
1202,malaga,M PAÍS-CHA-EQUO,0
1203,sevilla,M PAÍS-CHA-EQUO,0
1204,huesca,M PAÍS-CHA-EQUO,0
1205,teruel,M PAÍS-CHA-EQUO,0
1206,zaragoza,M PAÍS-CHA-EQUO,23196
1207,asturias,M PAÍS-CHA-EQUO,0
1208,illesbalears,M PAÍS-CHA-EQUO,0
1209,laspalmas,M PAÍS-CHA-EQUO,0
1210,santacruzdetenerife,M PAÍS-CHA-EQUO,0
1211,cantabria,M PAÍS-CHA-EQUO,0
1212,albacete,M PAÍS-CHA-EQUO,0
1213,ciudadreal,M PAÍS-CHA-EQUO,0
1214,cuenca,M PAÍS-CHA-EQUO,0
1215,guadalajara,M PAÍS-CHA-EQUO,0
1216,toledo,M PAÍS-CHA-EQUO,0
1217,avila,M PAÍS-CHA-EQUO,0
1218,burgos,M PAÍS-CHA-EQUO,0
1219,leon,M PAÍS-CHA-EQUO,0
1220,palencia,M PAÍS-CHA-EQUO,0
1221,salamanca,M PAÍS-CHA-EQUO,0
1222,segovia,M PAÍS-CHA-EQUO,0
1223,soria,M PAÍS-CHA-EQUO,0
1224,valladolid,M PAÍS-CHA-EQUO,0
1225,zamora,M PAÍS-CHA-EQUO,0
1226,barcelona,M PAÍS-CHA-EQUO,0
1227,girona,M PAÍS-CHA-EQUO,0
1228,lleida,M PAÍS-CHA-EQUO,0
1229,tarragona,M PAÍS-CHA-EQUO,0
1230,badajoz,M PAÍS-CHA-EQUO,0
1231,caceres,M PAÍS-CHA-EQUO,0
1232,acoruña,M PAÍS-CHA-EQUO,0
1233,lugo,M PAÍS-CHA-EQUO,0
1234,ourense,M PAÍS-CHA-EQUO,0
1235,pontevedra,M PAÍS-CHA-EQUO,0
1236,madrid,M PAÍS-CHA-EQUO,0
1237,navarra,M PAÍS-CHA-EQUO,0
1238,araba_alava,M PAÍS-CHA-EQUO,0
1239,gipuzkoa,M PAÍS-CHA-EQUO,0
1240,bizkaia,M PAÍS-CHA-EQUO,0
1241,murcia,M PAÍS-CHA-EQUO,0
1242,larioja,M PAÍS-CHA-EQUO,0
1243,alicante_alacant,M PAÍS-CHA-EQUO,0
1244,castellon_castello,M PAÍS-CHA-EQUO,0
1245,valencia_valencia,M PAÍS-CHA-EQUO,0
1246,ceuta,M PAÍS-CHA-EQUO,0
1247,melilla,M PAÍS-CHA-EQUO,0
1248,almeria,MÉS-ESQUERRA,0
1249,cadiz,MÉS-ESQUERRA,0
1250,cordoba,MÉS-ESQUERRA,0
1251,granada,MÉS-ESQUERRA,0
1252,huelva,MÉS-ESQUERRA,0
1253,jaen,MÉS-ESQUERRA,0
1254,malaga,MÉS-ESQUERRA,0
1255,sevilla,MÉS-ESQUERRA,0
1256,huesca,MÉS-ESQUERRA,0
1257,teruel,MÉS-ESQUERRA,0
1258,zaragoza,MÉS-ESQUERRA,0
1259,asturias,MÉS-ESQUERRA,0
1260,illesbalears,MÉS-ESQUERRA,18295
1261,laspalmas,MÉS-ESQUERRA,0
1262,santacruzdetenerife,MÉS-ESQUERRA,0
1263,cantabria,MÉS-ESQUERRA,0
1264,albacete,MÉS-ESQUERRA,0
1265,ciudadreal,MÉS-ESQUERRA,0
1266,cuenca,MÉS-ESQUERRA,0
1267,guadalajara,MÉS-ESQUERRA,0
1268,toledo,MÉS-ESQUERRA,0
1269,avila,MÉS-ESQUERRA,0
1270,burgos,MÉS-ESQUERRA,0
1271,leon,MÉS-ESQUERRA,0
1272,palencia,MÉS-ESQUERRA,0
1273,salamanca,MÉS-ESQUERRA,0
1274,segovia,MÉS-ESQUERRA,0
1275,soria,MÉS-ESQUERRA,0
1276,valladolid,MÉS-ESQUERRA,0
1277,zamora,MÉS-ESQUERRA,0
1278,barcelona,MÉS-ESQUERRA,0
1279,girona,MÉS-ESQUERRA,0
1280,lleida,MÉS-ESQUERRA,0
1281,tarragona,MÉS-ESQUERRA,0
1282,badajoz,MÉS-ESQUERRA,0
1283,caceres,MÉS-ESQUERRA,0
1284,acoruña,MÉS-ESQUERRA,0
1285,lugo,MÉS-ESQUERRA,0
1286,ourense,MÉS-ESQUERRA,0
1287,pontevedra,MÉS-ESQUERRA,0
1288,madrid,MÉS-ESQUERRA,0
1289,navarra,MÉS-ESQUERRA,0
1290,araba_alava,MÉS-ESQUERRA,0
1291,gipuzkoa,MÉS-ESQUERRA,0
1292,bizkaia,MÉS-ESQUERRA,0
1293,murcia,MÉS-ESQUERRA,0
1294,larioja,MÉS-ESQUERRA,0
1295,alicante_alacant,MÉS-ESQUERRA,0
1296,castellon_castello,MÉS-ESQUERRA,0
1297,valencia_valencia,MÉS-ESQUERRA,0
1298,ceuta,MÉS-ESQUERRA,0
1299,melilla,MÉS-ESQUERRA,0
1300,almeria,AxSÍ,318
1301,cadiz,AxSÍ,3509
1302,cordoba,AxSÍ,1019
1303,granada,AxSÍ,619
1304,huelva,AxSÍ,856
1305,jaen,AxSÍ,856
1306,malaga,AxSÍ,1686
1307,sevilla,AxSÍ,5183
1308,huesca,AxSÍ,0
1309,teruel,AxSÍ,0
1310,zaragoza,AxSÍ,0
1311,asturias,AxSÍ,0
1312,illesbalears,AxSÍ,0
1313,laspalmas,AxSÍ,0
1314,santacruzdetenerife,AxSÍ,0
1315,cantabria,AxSÍ,0
1316,albacete,AxSÍ,0
1317,ciudadreal,AxSÍ,0
1318,cuenca,AxSÍ,0
